flight_id,airline,origin_airport,dest_airport,flight_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,delay_cause
OO021_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-19,2022-02-19T15:37:00,2022-02-19T15:37:00,2022-02-19T17:37:00,2022-02-19T17:37:00,-15,-14,WEATHER
OO022_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-10,2022-02-10T22:21:00,2022-02-10T22:21:00,2022-02-10T00:21:00,2022-02-10T00:21:00,-8,-7,LATE_AIRCRAFT
OO023_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-25,2022-02-25T06:45:00,2022-02-25T06:51:00,2022-02-25T08:45:00,2022-02-25T08:55:00,6,10,WEATHER
OO024_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-03,2022-02-03T02:26:00,2022-02-03T02:29:00,2022-02-03T04:26:00,2022-02-03T04:37:00,3,11,WEATHER
OO025_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-25,2022-02-25T18:34:00,2022-02-25T18:34:00,2022-02-25T20:34:00,2022-02-25T20:34:00,-10,-3,CARRIER
OO026_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-14,2022-02-14T16:39:00,2022-02-14T16:50:00,2022-02-14T18:39:00,2022-02-14T18:42:00,11,3,CARRIER
OO027_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-12,2022-02-12T14:04:00,2022-02-12T14:09:00,2022-02-12T16:04:00,2022-02-12T16:08:00,5,4,CARRIER
OO028_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-06,2022-02-06T07:38:00,2022-02-06T07:50:00,2022-02-06T09:38:00,2022-02-06T09:55:00,12,17,WEATHER
OO029_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-04,2022-02-04T06:54:00,2022-02-04T06:54:00,2022-02-04T08:54:00,2022-02-04T08:54:00,-7,-1,CARRIER
OO030_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-08,2022-02-08T00:08:00,2022-02-08T00:08:00,2022-02-08T02:08:00,2022-02-08T02:08:00,-7,-8,WEATHER
OO031_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-26,2022-02-26T06:28:00,2022-02-26T06:02:00,2022-02-26T08:28:00,2022-02-26T08:00:00,34,32,CARRIER
OO032_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-15,2022-02-15T10:47:00,2022-02-15T10:47:00,2022-02-15T12:47:00,2022-02-15T12:47:00,-8,-6,CARRIER
OO033_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-08,2022-02-08T06:01:00,2022-02-08T06:14:00,2022-02-08T08:01:00,2022-02-08T08:14:00,13,13,WEATHER
OO034_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-09,2022-02-09T12:18:00,2022-02-09T12:18:00,2022-02-09T14:18:00,2022-02-09T14:18:00,-2,-2,CARRIER
OO035_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-03,2022-02-03T21:45:00,2022-02-03T21:55:00,2022-02-03T23:45:00,2022-02-03T23:57:00,10,12,WEATHER
OO036_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-07,2022-02-07T00:08:00,2022-02-07T00:28:00,2022-02-07T02:08:00,2022-02-07T02:32:00,20,24,CARRIER
OO037_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-15,2022-02-15T22:18:00,2022-02-15T22:31:00,2022-02-15T00:18:00,2022-02-15T00:30:00,13,12,CARRIER
OO038_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-25,2022-02-25T05:58:00,2022-02-25T05:03:00,2022-02-25T07:58:00,2022-02-25T07:05:00,5,7,CARRIER
OO039_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-26,2022-02-26T22:58:00,2022-02-26T22:09:00,2022-02-26T00:58:00,2022-02-26T00:02:00,11,4,LATE_AIRCRAFT
AS000_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-07,2019-01-07T20:06:00,2019-01-07T20:30:00,2019-01-07T22:06:00,2019-01-07T22:29:00,24,23,NAS
AS001_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-15,2019-01-15T09:22:00,2019-01-15T09:44:00,2019-01-15T11:22:00,2019-01-15T11:37:00,22,15,NAS
AS002_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-01,2019-01-01T21:55:00,2019-01-01T21:30:00,2019-01-01T23:55:00,2019-01-01T23:22:00,35,27,CARRIER
AS003_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-07,2019-01-07T17:10:00,2019-01-07T17:30:00,2019-01-07T19:10:00,2019-01-07T19:35:00,20,25,NAS
AS004_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-27,2019-01-27T17:18:00,2019-01-27T17:28:00,2019-01-27T19:18:00,2019-01-27T19:28:00,10,10,CARRIER
AS005_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-27,2019-01-27T04:13:00,2019-01-27T04:27:00,2019-01-27T06:13:00,2019-01-27T06:24:00,14,11,CARRIER
AS006_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-09,2019-01-09T11:54:00,2019-01-09T11:54:00,2019-01-09T13:54:00,2019-01-09T13:54:00,-6,-2,NAS
AS007_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-19,2019-01-19T00:42:00,2019-01-19T00:42:00,2019-01-19T02:42:00,2019-01-19T02:42:00,-3,-3,CARRIER
AS008_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-16,2019-01-16T21:04:00,2019-01-16T21:16:00,2019-01-16T23:04:00,2019-01-16T23:11:00,12,7,NAS
AS009_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-11,2019-01-11T07:56:00,2019-01-11T07:02:00,2019-01-11T09:56:00,2019-01-11T09:05:00,6,9,CARRIER
AS010_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-17,2019-01-17T12:08:00,2019-01-17T12:08:00,2019-01-17T14:08:00,2019-01-17T14:08:00,-1,-1,NAS
AS011_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-18,2019-01-18T00:57:00,2019-01-18T00:22:00,2019-01-18T02:57:00,2019-01-18T02:26:00,25,29,NAS
AS012_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-12,2019-01-12T10:37:00,2019-01-12T10:56:00,2019-01-12T12:37:00,2019-01-12T12:50:00,19,13,NAS
AS013_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-22,2019-01-22T05:47:00,2019-01-22T05:47:00,2019-01-22T07:47:00,2019-01-22T07:47:00,-11,-11,NAS
AS014_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-26,2019-01-26T19:44:00,2019-01-26T19:45:00,2019-01-26T21:44:00,2019-01-26T21:49:00,1,5,NAS
AS015_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-17,2019-01-17T22:51:00,2019-01-17T22:57:00,2019-01-17T00:51:00,2019-01-17T00:51:00,6,-4,NAS
AS016_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-27,2019-01-27T17:49:00,2019-01-27T17:23:00,2019-01-27T19:49:00,2019-01-27T19:28:00,34,39,NAS
AS017_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-23,2019-01-23T08:08:00,2019-01-23T08:32:00,2019-01-23T10:08:00,2019-01-23T10:36:00,24,28,CARRIER
AS018_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-25,2019-01-25T21:35:00,2019-01-25T21:42:00,2019-01-25T23:35:00,2019-01-25T23:42:00,7,7,CARRIER
AS019_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-05,2019-01-05T12:01:00,2019-01-05T12:10:00,2019-01-05T14:01:00,2019-01-05T14:09:00,9,8,CARRIER
AS020_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-12,2019-01-12T13:30:00,2019-01-12T13:43:00,2019-01-12T15:30:00,2019-01-12T15:42:00,13,12,NAS
AS021_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-19,2019-01-19T16:51:00,2019-01-19T16:55:00,2019-01-19T18:51:00,2019-01-19T18:54:00,4,3,CARRIER
AS022_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-25,2019-01-25T05:13:00,2019-01-25T05:40:00,2019-01-25T07:13:00,2019-01-25T07:39:00,27,26,CARRIER
AS023_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-07,2019-01-07T00:22:00,2019-01-07T00:30:00,2019-01-07T02:22:00,2019-01-07T02:35:00,8,13,NAS
AS024_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-03,2019-01-03T01:23:00,2019-01-03T01:23:00,2019-01-03T03:23:00,2019-01-03T03:23:00,-3,-7,NAS
AS025_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-25,2019-01-25T05:57:00,2019-01-25T05:04:00,2019-01-25T07:57:00,2019-01-25T07:03:00,7,6,NAS
AS026_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-17,2019-01-17T17:43:00,2019-01-17T17:51:00,2019-01-17T19:43:00,2019-01-17T19:51:00,8,8,NAS
AS027_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-04,2019-01-04T19:27:00,2019-01-04T19:35:00,2019-01-04T21:27:00,2019-01-04T21:35:00,8,8,NAS
AS028_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-02,2019-01-02T03:25:00,2019-01-02T03:47:00,2019-01-02T05:25:00,2019-01-02T05:39:00,22,14,NAS
AS029_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-13,2019-01-13T11:21:00,2019-01-13T11:28:00,2019-01-13T13:21:00,2019-01-13T13:28:00,7,7,NAS
AS030_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-07,2019-01-07T06:46:00,2019-01-07T06:10:00,2019-01-07T08:46:00,2019-01-07T08:02:00,24,16,NAS
AS031_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-26,2019-01-26T10:31:00,2019-01-26T10:01:00,2019-01-26T12:31:00,2019-01-26T12:59:00,30,28,NAS
AS032_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-15,2019-01-15T12:45:00,2019-01-15T12:52:00,2019-01-15T14:45:00,2019-01-15T14:48:00,7,3,NAS
AS033_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-18,2019-01-18T13:40:00,2019-01-18T13:53:00,2019-01-18T15:40:00,2019-01-18T15:48:00,13,8,CARRIER
AS034_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-17,2019-01-17T16:34:00,2019-01-17T16:34:00,2019-01-17T18:34:00,2019-01-17T18:34:00,-5,-5,LATE_AIRCRAFT
AS035_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-03,2019-01-03T03:47:00,2019-01-03T03:15:00,2019-01-03T05:47:00,2019-01-03T05:12:00,28,25,NAS
AS036_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-26,2019-01-26T21:05:00,2019-01-26T21:05:00,2019-01-26T23:05:00,2019-01-26T23:05:00,-5,-2,NAS
AS037_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-07,2019-01-07T03:10:00,2019-01-07T03:35:00,2019-01-07T05:10:00,2019-01-07T05:32:00,25,22,NAS
AS038_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-19,2019-01-19T12:42:00,2019-01-19T12:04:00,2019-01-19T14:42:00,2019-01-19T14:56:00,22,14,NAS
AS039_BOS_20191,Alaska Airlines Inc.,BOS,XXX,2019-01-21,2019-01-21T03:54:00,2019-01-21T03:03:00,2019-01-21T05:54:00,2019-01-21T05:10:00,9,16,CARRIER
OO000_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-14,2020-12-14T15:42:00,2020-12-14T15:51:00,2020-12-14T17:42:00,2020-12-14T17:47:00,9,5,CARRIER
OO001_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-12,2020-12-12T16:53:00,2020-12-12T16:07:00,2020-12-12T18:53:00,2020-12-12T18:06:00,14,13,CARRIER
OO002_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-15,2020-12-15T07:18:00,2020-12-15T07:37:00,2020-12-15T09:18:00,2020-12-15T09:33:00,19,15,CARRIER
OO003_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-05,2020-12-05T16:22:00,2020-12-05T16:45:00,2020-12-05T18:22:00,2020-12-05T18:48:00,23,26,LATE_AIRCRAFT
OO004_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-10,2020-12-10T17:36:00,2020-12-10T17:53:00,2020-12-10T19:36:00,2020-12-10T19:47:00,17,11,NAS
OO005_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-13,2020-12-13T19:56:00,2020-12-13T19:24:00,2020-12-13T21:56:00,2020-12-13T21:13:00,28,17,NAS
OO006_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-04,2020-12-04T02:28:00,2020-12-04T02:34:00,2020-12-04T04:28:00,2020-12-04T04:34:00,6,6,CARRIER
OO007_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-16,2020-12-16T16:48:00,2020-12-16T16:48:00,2020-12-16T18:48:00,2020-12-16T18:48:00,-9,-1,CARRIER
OO008_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-01,2020-12-01T06:30:00,2020-12-01T06:37:00,2020-12-01T08:30:00,2020-12-01T08:44:00,7,14,LATE_AIRCRAFT
OO009_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-25,2020-12-25T01:51:00,2020-12-25T01:59:00,2020-12-25T03:51:00,2020-12-25T03:57:00,8,6,WEATHER
OO010_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-18,2020-12-18T22:01:00,2020-12-18T22:16:00,2020-12-18T00:01:00,2020-12-18T00:13:00,15,12,LATE_AIRCRAFT
OO011_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-18,2020-12-18T19:01:00,2020-12-18T19:05:00,2020-12-18T21:01:00,2020-12-18T21:05:00,4,4,NAS
OO012_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-22,2020-12-22T04:00:00,2020-12-22T04:15:00,2020-12-22T06:00:00,2020-12-22T06:16:00,15,16,WEATHER
OO013_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-25,2020-12-25T03:03:00,2020-12-25T03:03:00,2020-12-25T05:03:00,2020-12-25T05:03:00,-15,-9,CARRIER
OO014_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-08,2020-12-08T19:14:00,2020-12-08T19:32:00,2020-12-08T21:14:00,2020-12-08T21:33:00,18,19,NAS
OO015_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-02,2020-12-02T19:41:00,2020-12-02T19:05:00,2020-12-02T21:41:00,2020-12-02T21:05:00,24,24,WEATHER
OO016_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-19,2020-12-19T11:31:00,2020-12-19T11:39:00,2020-12-19T13:31:00,2020-12-19T13:43:00,8,12,CARRIER
OO017_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-21,2020-12-21T18:43:00,2020-12-21T18:44:00,2020-12-21T20:43:00,2020-12-21T20:45:00,1,2,NAS
OO018_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-15,2020-12-15T22:44:00,2020-12-15T22:54:00,2020-12-15T00:44:00,2020-12-15T00:59:00,10,15,WEATHER
OO019_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-17,2020-12-17T05:52:00,2020-12-17T05:52:00,2020-12-17T07:52:00,2020-12-17T07:52:00,-3,-7,WEATHER
OO020_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-21,2020-12-21T04:22:00,2020-12-21T04:28:00,2020-12-21T06:22:00,2020-12-21T06:26:00,6,4,NAS
OO021_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-27,2020-12-27T20:33:00,2020-12-27T20:54:00,2020-12-27T22:33:00,2020-12-27T22:48:00,21,15,CARRIER
OO022_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-12,2020-12-12T13:31:00,2020-12-12T13:44:00,2020-12-12T15:31:00,2020-12-12T15:39:00,13,8,CARRIER
OO023_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-19,2020-12-19T10:29:00,2020-12-19T10:53:00,2020-12-19T12:29:00,2020-12-19T12:44:00,24,15,WEATHER
OO024_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-27,2020-12-27T03:55:00,2020-12-27T03:13:00,2020-12-27T05:55:00,2020-12-27T05:17:00,18,22,NAS
OO025_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-08,2020-12-08T09:37:00,2020-12-08T09:47:00,2020-12-08T11:37:00,2020-12-08T11:51:00,10,14,CARRIER
OO026_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-26,2020-12-26T13:35:00,2020-12-26T13:40:00,2020-12-26T15:35:00,2020-12-26T15:41:00,5,6,CARRIER
OO027_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-09,2020-12-09T03:13:00,2020-12-09T03:15:00,2020-12-09T05:13:00,2020-12-09T05:14:00,2,1,NAS
OO028_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-15,2020-12-15T14:34:00,2020-12-15T14:50:00,2020-12-15T16:34:00,2020-12-15T16:51:00,16,17,NAS
OO029_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-18,2020-12-18T04:25:00,2020-12-18T04:48:00,2020-12-18T06:25:00,2020-12-18T06:36:00,23,11,CARRIER
OO030_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-22,2020-12-22T16:32:00,2020-12-22T16:49:00,2020-12-22T18:32:00,2020-12-22T18:49:00,17,17,CARRIER
OO031_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-24,2020-12-24T06:47:00,2020-12-24T06:58:00,2020-12-24T08:47:00,2020-12-24T08:02:00,11,15,CARRIER
OO032_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-02,2020-12-02T02:03:00,2020-12-02T02:26:00,2020-12-02T04:03:00,2020-12-02T04:25:00,23,22,CARRIER
OO033_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-02,2020-12-02T13:19:00,2020-12-02T13:31:00,2020-12-02T15:19:00,2020-12-02T15:27:00,12,8,NAS
OO034_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-25,2020-12-25T00:25:00,2020-12-25T00:27:00,2020-12-25T02:25:00,2020-12-25T02:25:00,2,-4,CARRIER
OO035_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-23,2020-12-23T05:35:00,2020-12-23T05:35:00,2020-12-23T07:35:00,2020-12-23T07:35:00,-15,-4,LATE_AIRCRAFT
OO036_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-03,2020-12-03T22:26:00,2020-12-03T22:33:00,2020-12-03T00:26:00,2020-12-03T00:31:00,7,5,NAS
OO037_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-21,2020-12-21T17:22:00,2020-12-21T17:34:00,2020-12-21T19:22:00,2020-12-21T19:34:00,12,12,CARRIER
OO038_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-21,2020-12-21T12:27:00,2020-12-21T12:35:00,2020-12-21T14:27:00,2020-12-21T14:31:00,8,4,LATE_AIRCRAFT
OO039_PSP_202012,SkyWest Airlines Inc.,PSP,XXX,2020-12-05,2020-12-05T22:32:00,2020-12-05T22:40:00,2020-12-05T00:32:00,2020-12-05T00:34:00,8,2,CARRIER
WN000_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-14,2022-03-14T10:49:00,2022-03-14T10:26:00,2022-03-14T12:49:00,2022-03-14T12:26:00,37,37,NAS
WN001_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-11,2022-03-11T11:27:00,2022-03-11T11:35:00,2022-03-11T13:27:00,2022-03-11T13:39:00,8,12,LATE_AIRCRAFT
WN002_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-26,2022-03-26T01:37:00,2022-03-26T01:01:00,2022-03-26T03:37:00,2022-03-26T03:03:00,24,26,LATE_AIRCRAFT
WN003_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-07,2022-03-07T16:29:00,2022-03-07T16:29:00,2022-03-07T18:29:00,2022-03-07T18:35:00,-2,6,LATE_AIRCRAFT
WN004_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-24,2022-03-24T14:32:00,2022-03-24T14:46:00,2022-03-24T16:32:00,2022-03-24T16:46:00,14,14,CARRIER
WN005_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-18,2022-03-18T16:21:00,2022-03-18T16:51:00,2022-03-18T18:21:00,2022-03-18T18:48:00,30,27,LATE_AIRCRAFT
WN006_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-09,2022-03-09T11:31:00,2022-03-09T11:16:00,2022-03-09T13:31:00,2022-03-09T13:16:00,45,45,LATE_AIRCRAFT
WN007_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-21,2022-03-21T07:34:00,2022-03-21T07:34:00,2022-03-21T09:34:00,2022-03-21T09:37:00,-3,3,LATE_AIRCRAFT
WN008_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-23,2022-03-23T12:30:00,2022-03-23T12:47:00,2022-03-23T14:30:00,2022-03-23T14:46:00,17,16,LATE_AIRCRAFT
WN009_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-03,2022-03-03T09:10:00,2022-03-03T09:42:00,2022-03-03T11:10:00,2022-03-03T11:39:00,32,29,CARRIER
WN010_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-17,2022-03-17T21:40:00,2022-03-17T21:53:00,2022-03-17T23:40:00,2022-03-17T23:00:00,13,20,WEATHER
WN011_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-13,2022-03-13T09:16:00,2022-03-13T09:21:00,2022-03-13T11:16:00,2022-03-13T11:21:00,5,5,LATE_AIRCRAFT
WN012_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-22,2022-03-22T14:51:00,2022-03-22T14:06:00,2022-03-22T16:51:00,2022-03-22T16:05:00,15,14,LATE_AIRCRAFT
WN013_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-13,2022-03-13T06:56:00,2022-03-13T06:04:00,2022-03-13T08:56:00,2022-03-13T08:09:00,8,13,CARRIER
WN014_CMH_20223,Southwest Airlines Co.,CMH,XXX,2022-03-14,2022-03-14T16:47:00,2022-03-14T16:54:00,2022-03-14T18:47:00,2022-03-14T18:53:00,7,6,LATE_AIRCRAFT
