"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","MonthlyAverageWindSpeed","CoolingDegreeDaysSeasonToDate","MonthlyCoolingDegreeDays","MonthlyNumberDaysWithSnowfall","HeatingDegreeDaysSeasonToDate","MonthlyHeatingDegreeDays","MonthlyNumberDaysWithThunderstorms","MonthlyNumberDaysWithHeavyFog","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"AAI0000TNCA","2023-01-01T10:00:00","","","","","FM-15","223","1013.0","22.0","26.0","","","","","79.0","FEW:02 5.18","","","9.999","","80.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011000Z 08011KT 9999 FEW017 26/22 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T11:00:00","","","","","FM-15","223","1013.0","22.0","26.0","","","","","79.0","FEW:02 5.18","","","9.999","","80.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011100Z 08011KT 9999 FEW017 26/22 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T12:00:00","","","","","FM-15","223","1015.0","22.0","26.0","","","1.9","3","79.0","FEW:02 5.18","1014.8","1014.4","9.999","23.1","90.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011200Z 09011KT 9999 FEW017 26/22 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T13:00:00","","","","","FM-15","223","1015.0","22.0","28.0","","","","","70.0","FEW:02 5.79","","","9.999","","80.0","","6.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011300Z 08013KT 9999 FEW019 28/22 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T14:00:00","","","","","FM-15","223","1016.0","22.0","28.0","","","","","70.0","SCT:04 6.1","","","9.999","","90.0","","8.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011400Z 09016KT 9999 SCT020 28/22 Q1016 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T15:00:00","","","","","FM-15","223","1016.0","22.0","28.0","","","1.4","1","70.0","BKN:07 7.01","1016.3","1015.9","9.999","24.0","90.0","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011500Z 09017KT 9999 BKN023 28/22 Q1016 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T16:00:00","","","","","FM-15","223","1015.0","23.0","28.0","","","","","74.0","SCT:04 7.01","","","9.999","","70.0","","7.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011600Z 07015KT 9999 SCT023 28/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T17:00:00","","","","","FM-15","223","1014.0","23.0","30.0","","","","","66.0","BKN:07 7.01","","","9.999","","80.0","","7.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011700Z 08015KT 9999 BKN023 30/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T18:00:00","","","","","FM-15","223","1013.0","22.0","29.0","","","-3.3","8","66.0","SCT:04 7.01","1013.6","1013.2","9.999","24.3","70.0","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011800Z 07017KT 9999 SCT023 29/22 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T19:00:00","","","","","FM-15","223","1013.0","23.0","29.0","","","","","70.0","FEW:02 7.01","","","9.999","","70.0","","7.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 011900Z 07015KT 9999 FEW023 29/23 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T20:00:00","","","","","FM-15","223","1012.0","23.0","28.0","","","","","74.0","FEW:02 7.01","","","9.999","","80.0","","6.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 012000Z 08013KT 9999 FEW023 28/23 Q1012 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T21:00:00","","","","","FM-15","223","1012.0","22.0","28.0","","","-1.2","6","70.0","FEW:02 7.01","1012.4","1012.0","9.999","24.1","70.0","","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 012100Z 07014KT 9999 FEW023 28/22 Q1012 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T22:00:00","","","","","FM-15","223","1012.0","23.0","27.0","","","","","79.0","FEW:02 6.1","","","9.999","","70.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 012200Z 07012KT 9999 FEW020 27/23 Q1012 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T23:00:00","","","","","FM-15","223","1013.0","23.0","26.0","","","","","84.0","FEW:02 5.49","","","9.999","","70.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 012300Z 07011KT 9999 FEW018 26/23 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T00:00:00","","","","","FM-15","223","1014.0","22.0","26.0","","","0.5","3","79.0","FEW:02 5.49","1014.1","1013.7","9.999","23.5","70.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020000Z 07012KT 9999 FEW018 26/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T01:00:00","","","","","FM-15","223","1014.0","23.0","26.0","","","","","84.0","FEW:02 5.49","","","9.999","","80.0","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020100Z 08010KT 9999 FEW018 26/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T02:00:00","","","","","FM-15","223","1015.0","23.0","26.0","","","","","84.0","FEW:02 5.49","","","9.999","","70.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020200Z 07012KT 9999 FEW018 26/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T03:00:00","","","","","FM-15","223","1015.0","23.0","25.0","","||25","1.6","1","89.0","FEW:02 4.27 SCT:04 12.19","1015.7","","9.999","","80.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET069METAR TNCA 020300Z 08011KT 9999 FEW014 SCT040 25/23 Q1015 RERA NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T04:00:00","","","","","FM-15","223","1015.0","23.0","25.0","","","","","89.0","SCT:04 5.18","","","9.999","","90.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020400Z 09012KT 9999 SCT017 25/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T05:00:00","","","","","FM-15","223","1015.0","23.0","25.0","","","","","89.0","FEW:02 5.18","","","9.999","","70.0","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020500Z 07010KT 9999 FEW017 25/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T06:00:00","","","","","FM-15","223","1014.0","23.0","25.0","","||25","-0.8","7","89.0","SCT:04 4.88 BKN:06 21.0","1014.9","1014.4","9.999","23.3","100.0","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET062METAR TNCA 020600Z 10008KT 9999 SCT016 25/23 Q1014 RERA NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T07:00:00","","","","","FM-15","223","1014.0","23.0","25.0","","","","","89.0","FEW:02 4.88","","","9.999","","60.0","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020700Z 06007KT 9999 FEW016 25/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T08:00:00","","","","","FM-15","223","1013.0","22.0","24.0","","","","","89.0","FEW:02 4.88","","","9.999","","80.0","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020800Z 08008KT 9999 FEW016 24/22 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T09:00:00","","","","","FM-15","223","1013.0","23.0","24.0","","","-1.2","6","94.0","SCT:04 4.88","1013.7","","9.999","","90.0","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 020900Z 09008KT 9999 SCT016 24/23 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T10:00:00","","","","","FM-15","223","1014.0","22.0","24.0","","","","","89.0","FEW:02 4.88","","","9.999","","90.0","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021000Z 09007KT 9999 FEW016 24/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T11:00:00","","","","","FM-15","223","1014.0","22.0","24.0","","","","","89.0","SCT:04 4.88","","","9.999","","110.0","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021100Z 11007KT 9999 SCT016 24/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T12:00:00","","","","","FM-15","223","1015.0","23.0","26.0","","||HZ","1.2","3","84.0","SCT:04 4.88","1015.0","1014.6","9.999","23.7","90.0","","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021200Z 09009KT 9999 SCT016 26/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T13:00:00","","","","","FM-15","223","1015.0","23.0","27.0","","","","","79.0","FEW:02 5.49","","","9.999","","90.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021300Z 09012KT 9999 FEW018 27/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T14:00:00","","","","","FM-15","223","1016.0","23.0","28.0","","","","","74.0","SCT:04 5.49","","","9.999","","80.0","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021400Z 08017KT 9999 SCT018 28/23 Q1016 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T15:00:00","","","","","FM-15","223","1016.0","23.0","28.0","","","1.0","1","74.0","SCT:04 5.49","1016.0","1015.6","9.999","24.7","70.0","12.4","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET065METAR TNCA 021500Z 07014G24KT 9999 SCT018 28/23 Q1016 RERA NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T16:00:00","","","","","FM-15","223","1015.0","23.0","29.0","","","","","70.0","SCT:04 6.1","","","9.999","","80.0","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021600Z 08018KT 9999 SCT020 29/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T17:00:00","","","","","FM-15","223","1014.0","23.0","30.0","","","","","66.0","SCT:04 6.1","","","9.999","","80.0","","9.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021700Z 08019KT 9999 SCT020 30/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T18:00:00","","","","","FM-15","223","1014.0","22.0","29.0","","","-2.2","7","66.0","SCT:04 7.62 SCT:03 105.0","1013.9","1013.5","9.999","24.8","80.0","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021800Z 08017KT 9999 SCT025 29/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T19:00:00","","","","","FM-15","223","1014.0","22.0","29.0","","","","","66.0","SCT:04 7.62","","","9.999","","80.0","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 021900Z 08017KT 9999 SCT025 29/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-02T20:00:00","","","","","FM-15","223","1012.0","22.0","29.0","","","","","66.0","SCT:04 7.62","","","9.999","","70.0","","8.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 022000Z 07016KT 9999 SCT025 29/22 Q1012 NOSIG=","","","","","","","","","",""
